DOI,Query,Title,Journal,ISSN,Publisher,Type,URL,Volume,Issue,Page,Language,PublishedPrint,PublishedOnline,Issued,Author
10.1016/j.ijrmhm.2025.107345,carbide Ti,Plastic forming and sintering of high-performance WC-12Co cemented carbide rods,International Journal of Refractory Metals and Hard Materials,,,,https://doi.org/10.1016/j.ijrmhm.2025.107345,,,,,,,2025-12,"Fengsong, Fan, Hao, Li, Huijun, Shang, Jie, Wang, Sijia, Liu, Haoyang, Wu, Gang, Chen, Deyin, Zhang, Baorui, Jia, Haibin, Wang, Xuanhui, Qu, Mingli, Qin"
10.1016/j.compbiolchem.2025.108598,carbide Ti,"Bioinformatics analysis combined with experiments to unveil common hub genes, pathways, and transcription factor regulatory networks in ulcerative colitis and osteoporosis",Computational Biology and Chemistry,,,,https://doi.org/10.1016/j.compbiolchem.2025.108598,,,,,,,2025-12,"Kun, Li, Tianshuang, Xia, Bin, Peng, Liyong, Lai, Weiqing, Fan, Yiping, Jiang, Jianyong, Han, Ruiqing, Zhu, Tao, Jiang, Ti, Yang, Xiaoqiang, Yue, Denghai, Zhang, Hailiang, Xin"
10.1016/j.jeurceramsoc.2025.117630,carbide Ti,"Effects of WC additions on the phase formation of (Hf,Nb,Ta,Ti,Zr)C-(Hf,Nb,Ta,Ti,Zr)B2 high entropy dual phase ceramics",Journal of the European Ceramic Society,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117630,,,,,,,2025-12,"Rubia, Hassan, William G., Fahrenholtz, Gregory E., Hilmas"
10.1016/j.physo.2025.100301,carbide Ti,"Phase stability and physical properties of XSnPt(X = Ti, Zr, Hf): A density functional theory study",Physics Open,,,,https://doi.org/10.1016/j.physo.2025.100301,,,,,,,2025-12,"Ibrahim Omer A., Ali, B.O., Mnisi, E.M., Benecha, M.M., Tibane"
10.1016/j.seppur.2025.134745,carbide Ti,MIL-125-NH2(Ti)/etched silicon carbide/carboxymethyl cellulose composite aerogel for efficient cesium adsorption under alkaline conditions,Separation and Purification Technology,,,,https://doi.org/10.1016/j.seppur.2025.134745,,,,,,,2025-12,"Wenjie, Qin, Yongxin, Lei, Jiaze, Xiao, Haixiang, Tang, Wenbin, Zhong, Mengwei, Chen, Nannan, Wang, Yu, Chen, Yanqiu, Zhu"
10.1016/j.bioadv.2025.214378,carbide Ti,Improved biocompatibility of Ti-based bulk metallic glasses by electrochemical formation of nanoporous oxide layers,Biomaterials Advances,,,,https://doi.org/10.1016/j.bioadv.2025.214378,,,,,,,2025-12,"Nora, Fernández Navas, Ute, Hempel, Viktoriia, Shtefan, Andrea, Voss, Phil, Goldberg, Martin, Zawischa, Martina, Zimmermann, Annett, Gebert"
10.1016/j.jeurceramsoc.2025.117642,carbide Ti,"Microstructure and properties of coating-matrix integrated C/(Hf, Zr, Ti)C-(Ti, Zr, Hf)3SiC2-SiC composites prepared via RMI process",Journal of the European Ceramic Society,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117642,,,,,,,2025-12,"Xian, Liu, Sijie, Kou, Shaobo, Yang, Chun, Guo, Yujie, Chen, Shangwu, Fan, Xu, Ma"
10.1016/j.jeurceramsoc.2025.117543,carbide Ti,"Enhanced mechanical properties and oxidation resistance of (Ti,W,Mo,Ta)(C,N)-doped binderless Ti(C,N)-based ceramics",Journal of the European Ceramic Society,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117543,,,,,,,2025-12,"Xiyue, Kang, Fengwei, Xie, Ziren, Yuan, Shuaipeng, Chen, Ziyi, Xu, Zeyu, Teng, Xiaojing, Li, Yuehui, He"
10.1016/j.ces.2025.122210,carbide Ti,Promoting Cu2+/Cu+ redox cycling via molybdenum carbide toward peroxydisulfate-based advanced oxidation process,Chemical Engineering Science,,,,https://doi.org/10.1016/j.ces.2025.122210,,,,,,,2025-12,"Chunxi, Li, Deling, Yuan, Zhibin, Wang, Tongtong, Zhao, Shoufeng, Tang, Desong, Wang"
10.1016/j.powtec.2025.121504,carbide Ti,"Experimental investigation of the effect of magnetic field placement on pressure drop, entropy generation, heat transfer, and thermal performance of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si3.svg""><mml:msub><mml:mi>Fe</mml:mi><mml:mn>3</mml:mn></mml:msub><mml:msub><mml:mi mathvariant=""normal"">O</mml:mi><mml:mn>4</mml:mn></mml:msub></mml:math>/Ti<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si4.svg""><mml:msub><mml:mi mathvariant=""normal"">O</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:math> magnetic nanofluids in turbulent flow",Powder Technology,,,,https://doi.org/10.1016/j.powtec.2025.121504,,,,,,,2025-12,"Victor O., Adogbeji, Kuvendran, Govinder, Mohsen, Sharifpur, Josua P., Meyer"
10.1016/j.jeurceramsoc.2025.117652,carbide Ti,High-performance molybdenum carbide powder catalyst for oil decomposition by solution combustion synthesis with post-annealing,Journal of the European Ceramic Society,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117652,,,,,,,2025-12,"Kirill, Podbolotov, Dmitry, Moskovskih, Sergey, Volodko, Sergey, Roslyakov, Liliya, Dogotar, Yuliya, Zizika, Sergey, Vasilevich, Alexander, Khort"
10.1016/j.ijrmhm.2025.107385,carbide Ti,Effect of different Ti doping modes on diamond/Cu–Sn composites forming via laser powder bed melting,International Journal of Refractory Metals and Hard Materials,,,,https://doi.org/10.1016/j.ijrmhm.2025.107385,,,,,,,2025-12,"Yakun, Tao, Yan, Zhou, Longchen, Duan, Shifeng, Wen, Yusheng, Shi"
10.1016/j.ijrmhm.2025.107317,carbide Ti,Wear and corrosion behaviors of Ti-6Al-4 V alloy gradient-hardened by vacuum rapid oxynitriding,International Journal of Refractory Metals and Hard Materials,,,,https://doi.org/10.1016/j.ijrmhm.2025.107317,,,,,,,2025-12,"Se-Yeong, Park, Dong-Geun, Lee"
10.1016/j.optlastec.2025.113694,carbide Ti,Aberration compensation technology for internal structural modification of silicon carbide using femtosecond laser stealth dicing,Optics &amp; Laser Technology,,,,https://doi.org/10.1016/j.optlastec.2025.113694,,,,,,,2025-12,"Nan, Yang, Beichen, Hu, Guowen, An, Haiyang, Wang, Jun, Wang, Jingyi, Wang, Yijin, Wang, Pinggang, Jia"
10.1016/j.apsusc.2025.164363,carbide Ti,Study on the tribological behaviour of Ti@a-C:H/steel tribopairs: influence of friction-induced TiO2/Ti2O3 nanoparticles,Applied Surface Science,,,,https://doi.org/10.1016/j.apsusc.2025.164363,,,,,,,2025-12,"Jun, Zheng, Yuqi, Wang, Lishuo, Wu, Liting, Liu, Jicheng, Ding, Lin, Zhang, Jie, Jin, Guichun, Yang, Songlin, Ran, Xingguang, Liu"
10.1016/j.matchemphys.2025.131414,carbide Ti,Microstructural evolution and corrosion resistance of additively manufactured Ti–6Al–4V alloy annular shaped components using multistage heat treatment,Materials Chemistry and Physics,,,,https://doi.org/10.1016/j.matchemphys.2025.131414,,,,,,,2025-12,"Zhongjian, Li, Jian, Gou, Ju, Gao, Jingshuai, Zhu, Wenqiang, Kou, Jiaqi, Wang"
10.1016/j.matlet.2025.139119,carbide Ti,Fabrication of Co-Cr-Ni-Ti medium entropy alloy via dual-wire arc additive manufacturing with excellent high-temperature mechanical properties,Materials Letters,,,,https://doi.org/10.1016/j.matlet.2025.139119,,,,,,,2025-12,"Yuzeng, Feng, Kang, Peng, Shengguo, Ma, Jun, Cao, Tiehui, Fang, Xizhang, Chen"
10.1016/j.powtec.2025.121390,carbide Ti,Spray drying for pulmonary drug delivery: Comparing two- and three-fluid nozzles for porous particles production,Powder Technology,,,,https://doi.org/10.1016/j.powtec.2025.121390,,,,,,,2025-12,"Marcos Andrés, Serain, Verónica, Bucalá, Loreana, Gallo"
10.1016/j.micromeso.2025.113794,carbide Ti,Modified microstructure of Ti and Zn sites in Silicalite-1 catalysts for propane dehydrogenation,Microporous and Mesoporous Materials,,,,https://doi.org/10.1016/j.micromeso.2025.113794,,,,,,,2025-12,"Qinglong, Liu, Jieyu, Chen, Wenda, Li, Junzhe, Zhao, Mingsheng, Luo, Zhi, Yang"
10.1016/j.triboint.2025.110962,carbide Ti,Development of tribo-efficient novel nanostructured silica coatings on additively manufactured Ti-6Al-4V via PMMA degradation,Tribology International,,,,https://doi.org/10.1016/j.triboint.2025.110962,,,,,,,2025-12,"Babra, Abbas, Hui-Ci, Weng, Junaid, Syed, Nitya Nand, Gosvami, E.-Wen, Huang, Shashwat, Mishra, Jayant, Jain"
10.1016/j.jpcs.2025.113003,carbide Ti,Influence of silicon interlayers on transition layer formation in Ti/Ni multilayer structures of different thicknesses,Journal of Physics and Chemistry of Solids,,,,https://doi.org/10.1016/j.jpcs.2025.113003,,,,,,,2025-12,"S.S., Sakhonenkov, A.U., Gaisin, A.S., Konashuk, A.V., Bugaev, R.S., Pleshkov, V.N., Polkovnikov, E.O., Filatova"
10.1016/j.colsurfa.2025.137916,carbide Ti,Fretting maps and wear mechanisms of Ti-10V-2Fe-3Al titanium alloy/1Cr17Ni3A alloy friction pairs: Influence of regime transition on crack formation,Colloids and Surfaces A: Physicochemical and Engineering Aspects,,,,https://doi.org/10.1016/j.colsurfa.2025.137916,,,,,,,2025-12,"Yinbo, Li, Guoxin, Xie, Pengcheng, Du, Xuhui, Sun, Jingcao, Cao"
10.1016/j.ast.2025.110710,carbide Ti,Multi-objective trajectory planning for flexible spacecraft via physics-informed neural network,Aerospace Science and Technology,,,,https://doi.org/10.1016/j.ast.2025.110710,,,,,,,2025-12,"Xilin, Zhong, Shujie, Liu, Ti, Chen, Haiyan, Hu"
10.1016/j.cscm.2025.e05033,carbide Ti,Production of concrete expansive agents from freshwater sludge and carbide sludge,Case Studies in Construction Materials,,,,https://doi.org/10.1016/j.cscm.2025.e05033,,,,,,,2025-12,"Mingqian, Yang, Bo, Xu, Jiawei, Tan, En-Hua, Yang, Yaolin, Yi"
