DOI,Query,Title,Journal,ISSN,Publisher,Type,URL,Volume,Issue,Page,Language,PublishedPrint,PublishedOnline,Issued,Author
10.1007/978-94-024-2039-5,carbides Ti,Ultra-High Temperature Materials III,,,Springer Netherlands,book,https://doi.org/10.1007/978-94-024-2039-5,,,,en,2020,,2020,"Igor L., Shabalin"
10.1007/978-94-024-2039-5_1,carbides Ti,Introduction,Ultra-High Temperature Materials III,,Springer Netherlands,book-chapter,https://doi.org/10.1007/978-94-024-2039-5_1,,,1-10,en,2020,2020-7-8,2020,"Igor L., Shabalin"
10.1007/978-94-024-2039-5_2,carbides Ti,Titanium Monocarbide,Ultra-High Temperature Materials III,,Springer Netherlands,book-chapter,https://doi.org/10.1007/978-94-024-2039-5_2,,,11-514,en,2020,2020-7-8,2020,"Igor L., Shabalin"
10.1007/978-94-024-2039-5_3,carbides Ti,Vanadium Monocarbide,Ultra-High Temperature Materials III,,Springer Netherlands,book-chapter,https://doi.org/10.1007/978-94-024-2039-5_3,,,515-707,en,2020,2020-7-8,2020,"Igor L., Shabalin"
10.1134/s0031918x09110088,carbides Ti,"Analysis of the solubility of carbides, nitrides, and carbonitrides in steels using methods of computer thermodynamics: III. Solubility of carbides, nitrides, and carbonitrides in the Fe-Ti-C, Fe-Ti-N, and Fe-Ti-C-N systems",The Physics of Metals and Metallography,"0031-918X, 1555-6190",Pleiades Publishing Ltd,journal-article,https://doi.org/10.1134/s0031918x09110088,108,5,484-495,en,2009-11,2009-12-6,2009-11,"I. I., Gorbachev, V. V., Popov"
10.1201/9780367808594-6,carbides Ti,"High-Rate Anodic Dissolution of Ti, W, and Their Carbides",Electrodissolution Processes,,CRC Press,book-chapter,https://doi.org/10.1201/9780367808594-6,,,131-150,en,2020-12-9,,2020-12-9,"Madhav, Datta"
10.1016/j.scriptamat.2006.12.026,carbides Ti,"Sintered (Ti,W)C carbides",Scripta Materialia,1359-6462,Elsevier BV,journal-article,https://doi.org/10.1016/j.scriptamat.2006.12.026,56,7,561-564,en,2007-4,,2007-4,"J., Jung, S., Kang"
10.1016/j.matchar.2013.11.016,carbides Ti,Microstructure characterization of nanometer carbides heterogeneous precipitation in Ti–Nb and Ti–Nb–Mo steel,Materials Characterization,1044-5803,Elsevier BV,journal-article,https://doi.org/10.1016/j.matchar.2013.11.016,88,,69-79,en,2014-2,,2014-2,"Chih Yuan, Chen, Chien Chon, Chen, Jer Ren, Yang"
10.1016/j.calphad.2007.11.007,carbides Ti,"Thermodynamic modelling of multicomponent cubic Nb, Ti and V carbides/carbonitrides",Calphad,0364-5916,Elsevier BV,journal-article,https://doi.org/10.1016/j.calphad.2007.11.007,32,2,326-337,en,2008-6,,2008-6,"Karin, Frisk"
10.2139/ssrn.4388215,carbides Ti,Synthesis of Non-Stoichiometric Carbides and Carbohydrides of Ti and Ti-Nb Using Self-Propagating High-Temperature Synthesis Technique,,,Elsevier BV,posted-content,https://doi.org/10.2139/ssrn.4388215,,,,,,,2023,"Armen, Hovhannisyan, Seda, Dolukhanyan, Ofelya, Ter-Galstyan, Nune, Mnatsakanyan, Sona, Mardanyan, Karine, Asatryan, Sargis, Mnatsakanyan, Garnik, Muradyan"
10.2139/ssrn.5071906,carbides Ti,"Influence of High Entropy Alloys as Binders on the Properties of New Ti(C,N)-Based Cemented Carbides",,,Elsevier BV,posted-content,https://doi.org/10.2139/ssrn.5071906,,,,,,,2024,"Huimin, Hu, Zhanwen, He, Jibing, Chen"
