DOI,Query,Title,Journal,ISSN,Publisher,Type,URL,Volume,Issue,Page,Language,PublishedPrint,PublishedOnline,Issued,Author
10.62539/2949-5644-2025-6-1-34-45,high entropy alloys spall strength,Modelling of normal zone propagation processes in current-carrying windings based on high-temperature superconductors,Superconductivity: Fundamental and Applied Research,,,,https://doi.org/10.62539/2949-5644-2025-6-1-34-45,,,,,,,2025-3-31,"I. V., Martirosian, D. A., Aleksandrov, V. V., Anishchenko"
10.35118/apjmbb.2025.033.1.09,high entropy alloys spall strength,In-silico analysis of Spike and envelope protein mutations in Omicron variants from Indonesia and high-case countries,Asia Pacific Journal of Molecular Biology and Biotechnology,,,,https://doi.org/10.35118/apjmbb.2025.033.1.09,,,,,,,2025-3-31,"Rahmadi Dimas, Pratama, Erlia, Narulita, Riska Ayu, Febrianti, Aditya, Kurniawan"
10.54097/tn0kv123,high entropy alloys spall strength,Spearman Correlation and Entropy Weight Method Based Best-of-n Competition Momentum Prediction,"Highlights in Science, Engineering and Technology",,,,https://doi.org/10.54097/tn0kv123,,,,,,,2025-3-31,"Yayelin, Mo, Yong, Huang"
10.3855/jidc.20820,high entropy alloys spall strength,Effectiveness of 14-day high-dose dual therapy for Helicobacter pylori infection in Vietnam,The Journal of Infection in Developing Countries,,,,https://doi.org/10.3855/jidc.20820,,,,,,,2025-3-31,"Nam T, Phan, Long H, Truong"
10.3390/coatings15040414,high entropy alloys spall strength,A Review of Research on the Interfacial Shear Performance of Ultra-High-Performance Concrete and Normal Concrete Composite Structures,Coatings,,,,https://doi.org/10.3390/coatings15040414,,,,,,,2025-3-31,"Zhenjie, Xu, Fengjiang, Qin, Qiuwei, Yang, Xi, Peng, Bin, Xu"
10.55041/ijsrem43415,high entropy alloys spall strength,Temporal Regularized Matrix Factorization for High-Dimensional Time Series Forecasting,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,,,,https://doi.org/10.55041/ijsrem43415,,,,,,,2025-3-31,"Pratham, Patel, Dhruv, Parmar, Gaurav, Kulkarni"
10.3390/en18071730,high entropy alloys spall strength,Intelligent Alarm Analysis for Fault Diagnosis and Management in Nuclear Power Plants,Energies,,,,https://doi.org/10.3390/en18071730,,,,,,,2025-3-31,"Wei, Li, Kunze, Yang, Ming, Yang, Jipu, Wang, Sijuan, Chen"
10.36838/v7i3.13,high entropy alloys spall strength,Examining the Fast Fashion Industry and the Multifaceted Oppression of Downtown Los Angeles Garment Workers,International Journal of High School Research,,,,https://doi.org/10.36838/v7i3.13,,,,,,,2025-3-31,"Ileana, Nguyen-Garay"
10.32734/yb3dbz91,high entropy alloys spall strength,Effect of Mobile Online Games on Everyday English Vocabulary Acquisition in AL-ULUM High School Students,"Humanities &amp; Language: International Journal of Linguistics, Humanities, and Education",,,,https://doi.org/10.32734/yb3dbz91,,,,,,,2025-3-31,"Fanni, Zahara, Widya, Syahrina, Rizky, Ananda"
10.47363/jmsmr/2025(6)200,high entropy alloys spall strength,Increasing the Fatigue Strength of Aluminum Alloy Parts Using Composite Coatings for Aerospace Engineering,Journal of Material Sciences &amp; Manufacturing Research,,,,https://doi.org/10.47363/jmsmr/2025(6)200,,,,,,,2025-3-31,"Alexander, Kalinichenko"
10.29303/ujcs.v6i1.884,high entropy alloys spall strength,Assistance In the Preparation of Teaching Modules Based on Problem Solving Integrated with Character by Utilizing Artificial Intelligence to Junior High School Teachers,Unram Journal of Community Service,,,,https://doi.org/10.29303/ujcs.v6i1.884,,,,,,,2025-3-31,"Nurhafidhah, Nurhafidhah, Mauliza, Mauliza, Ahmad Fauzi Syahputra, Yani"
10.1111/bdi.70030,high entropy alloys spall strength,"Ultra High Dose (252 mg/Day) Lorazepam Infusion for Delirium in a Patient With Bipolar Disorder, <scp>TBI</scp> and Substance Withdrawal in <scp>ICU</scp>",Bipolar Disorders,,,,https://doi.org/10.1111/bdi.70030,,,,,,,2025-3-31,"Francesco, Fargnoli, Valentina Lo, Serro, Pasquale, D'onofrio, Alessandro, Cuomo, Pietro, Carmellini, Giovanni, Barillà, Simone, Pardossi, Letizia, Nucci, Valeria, Peccianti, Silvia, Montemerani, Elena, Falciani, Vincenzo, Giannubilo, Andrea, Fagiolini"
10.1371/journal.pone.0318528,high entropy alloys spall strength,Analysis on the potential of Pennisetum hydridum for phytoremediation of Cd-polluted soil fertilized by worm castings,PLOS ONE,,,,https://doi.org/10.1371/journal.pone.0318528,,,,,,,2025-3-31,"Xiafang, Hong, Zhi, Zhang, Zhiwei, Wan"
10.4283/jmag.2025.30.1.48,high entropy alloys spall strength,"Effects of Repetitive Peripheral Magnetic Stimulation and Exercise on Pain, Grip Strength, and Muscle Activity in Lateral Epicondylitis Patients",Journal of Magnetics,,,,https://doi.org/10.4283/jmag.2025.30.1.48,,,,,,,2025-3-31,"Seung-min, Nam"
10.14250/cement.78.339,high entropy alloys spall strength,SHEAR STRENGTH PROPERTIES OF POLYPROPYLENE FIBER REINFORCED CONCRETE,Cement Science and Concrete Technology,,,,https://doi.org/10.14250/cement.78.339,,,,,,,2025-3-31,"Tsuneji, SASAKI, Hiroshi, HIGASHIYAMA, Mutsumi, MIZUKOSHI"
10.36838/v7i3.3,high entropy alloys spall strength,Structural And Functional Insights into EGFR And EGFRvIII Using Computational Modelling and Docking,International Journal of High School Research,,,,https://doi.org/10.36838/v7i3.3,,,,,,,2025-3-31,"Atreya, Manaswi"
10.22201/fmvz.24486760e.2025.1399,high entropy alloys spall strength,Modification of the embryo and incubation of broiler breeder by ventilation at high altitude,Veterinaria México OA,,,,https://doi.org/10.22201/fmvz.24486760e.2025.1399,,,,,,,2025-3-31,"Marco Antonio, Juarez-Estrada, Erick Iraim, Lopez-Ruiz, Sonia, Lopez-Cordova, Guillermo, Tellez-Isaias, Omar Francisco, Prado-Rebolledo"
10.1021/acs.nanolett.5c01673,high entropy alloys spall strength,Are There High-Density Deep States in an Atomic-Layer-Deposited Indium–Gallium–Zinc Oxide Thin Film?,Nano Letters,,,,https://doi.org/10.1021/acs.nanolett.5c01673,,,,,,,2025-3-31,"Liankai, Zheng, Lijuan, Xing, Zhiyu, Lin, Wanpeng, Zhao, Yuyan, Fan, Yulong, Dong, Ziheng, Wang, Siying, Li, Xiuyan, Li, Ying, Wu, Jeffrey, Xu, Mengwei, Si"
10.15616/bsl.2025.31.1.80,high entropy alloys spall strength,The High Sensitivity Food Poisoning Bacteria Detection System Based on Magnetic Separation for Minimizing of Cultivation Process and Rapid Testing,Biomedical Science Letters,,,,https://doi.org/10.15616/bsl.2025.31.1.80,,,,,,,2025-3-31,"MinJi, Choi, Il-Hoon, Cho"
10.1021/acs.nanolett.4c06060,high entropy alloys spall strength,Improved Hysteresis of High-Performance p-Type WSe<sub>2</sub> Transistors with Native Oxide WO<sub><i>x</i></sub> Interfacial Layer,Nano Letters,,,,https://doi.org/10.1021/acs.nanolett.4c06060,,,,,,,2025-3-31,"Hao-Yu, Lan, Yuanqiu, Tan, Shao-Heng, Yang, Xiangkai, Liu, Zhongxia, Shang, Joerg, Appenzeller, Zhihong, Chen"
10.33003/fjs-2025-0903-2653,high entropy alloys spall strength,DESIGN AND SIMULATION OF A HIGH-GAIN DUAL-BAND MICROSTRIP PATCH ANTENNA ARRAY FOR 26/28 GHz 5G APPLICATIONS,FUDMA JOURNAL OF SCIENCES,,,,https://doi.org/10.33003/fjs-2025-0903-2653,,,,,,,2025-3-31,"Muhammad A., Yusuf, Mutari Hajara, Ali"
10.1007/s40515-025-00584-x,high entropy alloys spall strength,ANN Insight in Forecasting Slope Stability by Analyzing the Influence of Strength Parameters in 2D and 3D Scenarios,Transportation Infrastructure Geotechnology,,,,https://doi.org/10.1007/s40515-025-00584-x,,,,,,,2025-3-31,"Masoud, Nasiri, Ehsan, Amiri"
10.1007/s10646-025-02878-9,high entropy alloys spall strength,Bumblebees avoid sucrose solution containing high concentrations of Roundup,Ecotoxicology,,,,https://doi.org/10.1007/s10646-025-02878-9,,,,,,,2025-3-31,"Linzi Jay, Thompson, Dara A., Stanley, Marie, Dacke, Lina, Herbertsson"
10.1080/10911359.2025.2481974,high entropy alloys spall strength,"Determinants of earthquake preparedness among junior high school students in Bantul Regency, Yogyakarta: An analysis of demographic and socioeconomic factors",Journal of Human Behavior in the Social Environment,,,,https://doi.org/10.1080/10911359.2025.2481974,,,,,,,2025-3-31,"Niken, Setyaningrum, Difran, Nobel Bistara, Andri, Setyorini, Dian, Nur Adkhana Sari, Rizki, Yulia Purwitaningtyas, Elisabeth, Samaran"
